exchange_symbol,underlying_symbol,contract_symbol,daily_limit_multiplier,tick_size_multiplier,least_days,exclude_days,max_days,pre_settlement,upper_limit,lower_limit,update_time
SHFE,al,al1908,2,10.0,15,30,180,13760.0,14445.0,13070.0,2019-07-11 11:04:24
SHFE,al,al1909,1.5,10.0,15,30,180,13785.0,14470.0,13095.0,2019-07-11 11:04:24
SHFE,al,al1910,1.2,10.0,15,30,180,13805.0,14495.0,13110.0,2019-07-11 11:04:24
DCE,c,c1909,2,10.0,15,30,180,1916.0,1992.0,1840.0,2019-07-11 11:04:24
DCE,c,c2001,1.5,10.0,15,30,180,1977.0,2056.0,1898.0,2019-07-11 11:04:24
CZCE,CF,CF001,1.5,10.0,15,30,180,13640.0,14190.0,13090.0,2019-07-11 11:04:24
CZCE,CF,CF909,2,10.0,15,30,180,13000.0,13520.0,12480.0,2019-07-11 11:04:24
SHFE,cu,cu1908,2,10.0,15,30,180,45870.0,48160.0,43570.0,2019-07-11 11:04:24
SHFE,cu,cu1909,1.5,10.0,15,30,180,45900.0,48190.0,43600.0,2019-07-11 11:04:24
SHFE,cu,cu1910,1.2,10.0,15,30,180,45940.0,48230.0,43640.0,2019-07-11 11:04:24
SHFE,hc,hc1910,2,10.0,15,30,180,3890.0,4123.0,3656.0,2019-07-11 11:04:24
SHFE,hc,hc2001,1.5,10.0,15,30,180,3706.0,3928.0,3483.0,2019-07-11 11:04:24
DCE,i,i1909,2,10.0,15,30,180,877.0,947.0,807.0,2019-07-11 11:04:24
DCE,i,i2001,1.5,10.0,15,30,180,775.5,822.0,729.0,2019-07-11 11:04:24
DCE,j,j1909,2,10.0,15,30,180,2091.0,2216.0,1966.0,2019-07-11 11:04:24
DCE,j,j2001,1.5,10.0,15,30,180,2133.5,2261.5,2005.5,2019-07-11 11:04:24
DCE,m,m1909,2,10.0,15,30,180,2764.0,2874.0,2654.0,2019-07-11 11:04:24
DCE,m,m2001,1.5,10.0,15,30,180,2826.0,2939.0,2713.0,2019-07-11 11:04:24
DCE,pp,pp1909,2,10.0,15,30,180,8792.0,9143.0,8441.0,2019-07-11 11:04:24
SHFE,rb,rb1910,2,10.0,15,30,180,4025.0,4266.0,3783.0,2019-07-11 11:04:24
SHFE,rb,rb2001,1.5,10.0,15,30,180,3758.0,3983.0,3532.0,2019-07-11 11:04:24
SHFE,ru,ru1909,2,10.0,15,30,180,10695.0,11440.0,9945.0,2019-07-11 11:04:24
SHFE,ru,ru2001,1.5,10.0,15,30,180,11565.0,12370.0,10755.0,2019-07-11 11:04:24
CZCE,SR,SR001,1.5,10.0,15,30,180,5093.0,5297.0,4889.0,2019-07-11 11:04:24
CZCE,SR,SR909,2,10.0,15,30,180,5172.0,5379.0,4965.0,2019-07-11 11:04:24
CZCE,TA,TA001,1.5,10.0,15,30,180,5322.0,5590.0,5054.0,2019-07-11 11:04:24
CZCE,TA,TA909,2,10.0,15,30,180,5962.0,6262.0,5662.0,2019-07-11 11:04:24
CZCE,ZC,ZC001,1.5,10.0,15,30,180,581.8000000000001,611.0,552.6,2019-07-11 11:04:24
CZCE,ZC,ZC909,2,10.0,15,30,180,582.2,611.4,553.0,2019-07-11 11:04:24
SHFE,zn,zn1908,2,10.0,15,30,180,19100.0,20055.0,18145.0,2019-07-11 11:04:24
SHFE,zn,zn1909,1.5,10.0,15,30,180,19045.0,19995.0,18090.0,2019-07-11 11:04:24
SHFE,zn,zn1910,1.2,10.0,15,30,180,19040.0,19990.0,18085.0,2019-07-11 11:04:24
